이름,생년월일,휴대폰번호,연령,주민등록상 행정구역,지하철 이용횟수,버스 이용횟수,승차 Top1 행정동,승차 Top2 행정동,승차 Top3 행정동,하차 Top1 행정동,하차 Top2 행정동,하차 Top3 행정동,저소득층 여부,다자녀 여부,자녀수,이용요금,적립비율,적립금액,휴대폰번호_마스킹
김동현,1987-03-24,054-279-8604,38,경기도 포천시 가산면,29,11,경기도 연천군 중면,경기도 고양시 일산서구 주엽동,경기도 부천시 오정구 내동,경기도 연천군 미산면,경기도 안산시 단원구 신길동,경기도 안성시 원곡면,N,N,0,20855,0.2,4171,054-***-8604
이미정,1995-04-13,018-733-3291,30,경기도 화성시 장안면,22,8,경기도 화성시 향남읍,경기도 여주시 점동면,경기도 광주시 곤지암읍,경기도 포천시 관인면,서울특별시 강북구 번동,경기도 이천시 율면,Y,N,0,344911,0.53,182803,018-***-3291
황승현,1976-02-14,064-757-9992,49,경기도 여주시 산북면,45,8,경기도 김포시 풍무동,경기도 안성시 숭인동,경기도 김포시 장기동,경기도 양주시 장흥면,경기도 이천시 율면,경기도 양평군 양평읍,N,N,0,326731,0.2,65346,064-***-9992
한미숙,2002-04-07,064-731-6421,23,경기도 여주시 점동면,26,11,경기도 양평군 양평읍,경기도 이천시 마장면,경기도 화성시 팔탄면,서울특별시 은평구 녹번동,경기도 연천군 백학면,서울특별시 영등포구 영등포동,Y,N,0,340420,0.53,180423,064-***-6421
김도윤,1990-07-11,055-547-1597,35,서울특별시 용산구 청파동3가,28,10,경기도 광주시 초월읍,경기도 안성시 신모산동,경기도 광명시 노온사동,경기도 오산시 세교동,경기도 포천시 군내면,경기도 안성시 죽산면,N,N,0,613556,0.2,122711,055-***-1597
서서현,1967-05-29,053-793-3421,58,경기도 양주시 은현면,31,11,경기도 안성시,서울특별시 중구 무학동,서울특별시 종로구 관철동,서울특별시 종로구 내자동,서울특별시 송파구 방이동,경기도 김포시 월곶면,N,N,0,93930,0.2,18786,053-***-3421
유영수,1990-02-02,052-238-1284,35,경기도 여주시 점동면,31,7,경기도 화성시 비봉면,경기도 양주시 장흥면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 김포시 통진읍,서울특별시 동대문구,N,N,0,469398,0.2,93880,052-***-1284
박지훈,2001-06-23,033-651-9285,24,경기도 파주시 산남동,43,11,서울특별시 구로구 항동,경기도 용인시 처인구 포곡읍,경기도 가평군 조종면,서울특별시 중구 오장동,서울특별시 마포구 염리동,경기도 시흥시 물왕동,N,N,0,33407,0.3,10022,033-***-9285
김하윤,1969-10-26,042-763-8629,56,경기도 화성시 우정읍,37,14,경기도 연천군 왕징면,경기도 안성시 양성면,경기도 김포시 월곶면,경기도 여주시 대신면,경기도 파주시 장단면,서울특별시 중구 인현동1가,N,N,0,531062,0.2,106212,042-***-8629
이광수,2006-11-01,042-740-9165,19,경기도 화성시 남양읍,32,7,서울특별시 서초구 염곡동,서울특별시 성북구,서울특별시 용산구 원효로2가,경기도 가평군 가평읍,서울특별시 양천구 목동,경기도 여주시 대신면,Y,N,0,52961,0.53,28069,042-***-9165
이영자,1971-08-04,062-293-8396,54,경기도 화성시 마도면,29,10,경기도 파주시 광탄면,경기도 양평군 개군면,경기도 안산시 상록구 건건동,경기도 포천시 신북면,경기도 이천시 호법면,경기도 파주시 광탄면,N,N,0,99428,0.2,19886,062-***-8396
홍영미,2004-07-24,019-697-1169,21,경기도 여주시 현암동,36,4,경기도 평택시 고덕면,서울특별시 강남구,경기도 양평군 강하면,서울특별시 송파구 문정동,경기도 이천시 율면,경기도 동두천시 광암동,N,N,0,137374,0.3,41212,019-***-1169
김진호,2003-09-09,041-116-9323,22,경기도 안산시 단원구,37,14,경기도 하남시 천현동,경기도 김포시 하성면,경기도 이천시 마장면,경기도 화성시 기안동,경기도 파주시 월롱면,서울특별시 중구 태평로2가,N,Y,2,308277,0.3,92483,041-***-9323
박상훈,1986-06-12,010-2215-0758,39,경기도 수원시 권선구,24,10,서울특별시 은평구 녹번동,서울특별시 용산구 용산동2가,경기도 용인시 처인구 백암면,경기도 광주시 경안동,경기도 남양주시 진건읍,서울특별시 강남구 역삼동,N,N,0,93523,0.2,18705,010-****-0758
이현지,1997-11-01,042-615-0002,28,경기도 수원시 권선구 평리동,31,9,경기도 평택시 서탄면,경기도 안성시 서운면,경기도 고양시 덕양구 내곡동,서울특별시 성북구 성북동1가,경기도 양주시 백석읍,경기도 고양시 일산동구 정발산동,N,N,0,79253,0.3,23776,042-***-0002
박선영,1941-08-11,031-151-9348,84,서울특별시 용산구 용산동2가,23,9,경기도 고양시,경기도 연천군 전곡읍,경기도 남양주시 와부읍,경기도 평택시 포승읍,서울특별시 양천구 신정동,경기도 김포시 양촌읍,N,Y,2,770302,0.3,231091,031-***-9348
신정자,2001-06-08,063-649-7003,24,경기도 용인시 수지구,28,14,경기도 남양주시 진접읍,경기도 시흥시 배곧동,서울특별시 강남구 도곡동,경기도 이천시 마장면,경기도 고양시 일산동구 식사동,경기도 파주시 월롱면,Y,Y,2,14700,0.53,7791,063-***-7003
문정자,1958-06-06,054-160-6250,67,경기도 평택시 서탄면,30,14,경기도 남양주시 진접읍,경기도 김포시 양촌읍,서울특별시 성북구 동소문동7가,경기도 연천군 전곡읍,경기도 화성시 병점동,경기도 양주시 은현면,N,Y,3,4916,0.5,2458,054-***-6250
김정수,1937-06-17,052-643-5542,88,서울특별시 서대문구 천연동,33,9,서울특별시 중구 충무로1가,서울특별시 종로구 창신동,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 용인시 처인구 남사읍,경기도 평택시 팽성읍,N,N,0,11069,0.2,2214,052-***-5542
고영식,1992-07-27,010-2598-7519,33,경기도 화성시 팔탄면,28,8,경기도 파주시 조리읍,경기도 수원시 권선구 호매실동,경기도 평택시 포승읍,경기도 화성시 남양읍,경기도 화성시 마도면,경기도 화성시 기산동,Y,N,0,465720,0.53,246832,010-****-7519
강민재,1936-09-24,033-487-5905,89,경기도 평택시 신장동,21,9,경기도 이천시 모가면,경기도 안성시 일죽면,경기도 연천군 백학면,경기도 이천시 설성면,경기도 여주시 가남읍,서울특별시 영등포구 양평동2가,N,N,0,50256,0.2,10051,033-***-5905
송영미,1961-01-30,011-999-6798,64,서울특별시 성북구,33,10,경기도 포천시 군내면,경기도 고양시 일산서구 가좌동,경기도 화성시 정남면,경기도 포천시 영북면,경기도 하남시 초일동,경기도 광주시 남한산성면,N,N,0,8474,0.2,1695,011-***-6798
한하은,1968-01-10,053-363-3495,57,경기도 파주시 연다산동,26,11,경기도 화성시 송산면,서울특별시 강남구 삼성동,경기도 고양시 덕양구 효자동,서울특별시 성북구,경기도 이천시 백사면,경기도 연천군 중면,Y,N,0,247453,0.53,131150,053-***-3495
김서준,1946-03-01,044-447-6502,79,서울특별시 은평구 응암동,37,11,경기도 여주시 북내면,경기도 안성시 일죽면,경기도 이천시 백사면,경기도 연천군 미산면,서울특별시 강동구 길동,경기도 평택시 현덕면,N,N,0,193988,0.2,38798,044-***-6502
차성훈,1945-02-19,017-193-9221,80,경기도 평택시 팽성읍,30,10,경기도 양평군 개군면,경기도 양평군 강상면,경기도 가평군 설악면,경기도 포천시 소흘읍,경기도 여주시 북내면,경기도 용인시 처인구 백암면,N,N,0,297567,0.2,59513,017-***-9221
홍미영,1952-09-02,043-226-5333,73,경기도 여주시 대신면,33,8,서울특별시 중구 을지로6가,서울특별시 마포구 대흥동,경기도 안성시 삼죽면,경기도 연천군 백학면,경기도 포천시 관인면,경기도 이천시 율면,N,N,0,140676,0.2,28135,043-***-5333
박숙자,1946-11-29,042-523-2247,79,경기도 김포시 장기동,32,12,경기도 하남시 학암동,경기도 양평군 개군면,서울특별시 강동구 강일동,경기도 여주시 점동면,서울특별시 송파구,경기도 파주시 광탄면,N,Y,3,36978,0.5,18489,042-***-2247
이지민,1995-04-24,042-887-7867,30,경기도 평택시 세교동,29,9,서울특별시 용산구 원효로1가,서울특별시 강서구 마곡동,경기도 용인시 처인구 백암면,서울특별시 종로구 효자동,경기도 화성시 마도면,경기도 가평군 설악면,N,Y,3,65116,0.5,32558,042-***-7867
류경자,1938-03-14,033-640-1143,87,경기도 수원시 팔달구 매교동,32,19,경기도 파주시 적성면,경기도 양주시 고암동,경기도 안성시 공도읍,경기도 여주시 대신면,경기도 남양주시 조안면,경기도 포천시 가산면,N,N,0,11976,0.2,2395,033-***-1143
최광수,1986-05-31,016-044-2838,39,경기도 안성시 일죽면,27,8,경기도 평택시 현덕면,경기도 남양주시 조안면,경기도 연천군 백학면,경기도 오산시 원동,경기도 양평군 서종면,경기도 화성시 마도면,N,Y,3,230788,0.5,115394,016-***-2838
박광수,2003-11-09,031-973-0512,22,경기도 안성시 금광면,27,10,서울특별시 성동구 금호동3가,경기도 안성시 금광면,경기도 평택시 팽성읍,경기도 화성시 남양읍,경기도 평택시 팽성읍,서울특별시 마포구 신공덕동,N,N,0,197844,0.3,59353,031-***-0512
김도윤,1966-09-19,053-544-4557,59,경기도 여주시 세종대왕면,34,12,경기도 가평군 설악면,경기도 김포시 고촌읍,경기도 안성시 보개면,경기도 시흥시 장곡동,서울특별시 마포구,경기도 포천시 관인면,N,N,0,216464,0.2,43293,053-***-4557
허정순,1997-06-12,055-650-1333,28,경기도 화성시 비봉면,38,7,경기도 가평군 가평읍,경기도 평택시 세교동,경기도 용인시 처인구 모현읍,서울특별시 중구 수하동,경기도 의정부시 용현동,서울특별시 성북구 보문동1가,Y,N,0,720792,0.53,382020,055-***-1333
황아름,1978-12-27,053-165-4164,47,경기도 양평군 청운면,27,15,경기도 시흥시 미산동,서울특별시 종로구 내수동,경기도 시흥시 도창동,경기도 수원시 팔달구 중동,경기도 시흥시 목감동,경기도 평택시 용이동,N,N,0,11776,0.2,2355,053-***-4164
박민재,1980-03-16,052-854-1130,45,경기도 남양주시 오남읍,28,11,경기도 광주시 곤지암읍,서울특별시 서초구 내곡동,경기도 부천시 오정구 원종동,서울특별시 용산구 용산동5가,경기도 이천시 신둔면,경기도 화성시 우정읍,Y,N,0,12762,0.53,6764,052-***-1130
배재호,1997-01-06,02-3849-2067,28,서울특별시 중구 저동2가,34,13,경기도 수원시 장안구 상광교동,경기도 양주시 광적면,경기도 여주시 흥천면,경기도 포천시 소흘읍,경기도 평택시 신장동,서울특별시 종로구 관훈동,N,N,0,254306,0.3,76292,02-3***-2067
이명자,1980-12-31,052-955-3974,45,경기도 연천군 신서면,34,12,경기도 구리시,경기도 오산시 오산동,경기도 용인시 처인구 양지면,경기도 이천시 장호원읍,경기도 군포시,경기도 파주시 진동면,N,Y,3,683349,0.5,341674,052-***-3974
남예지,2000-08-16,043-292-8416,25,경기도 용인시 처인구 포곡읍,31,10,경기도 광주시 퇴촌면,경기도 광주시 곤지암읍,경기도 수원시 권선구 곡반정동,경기도 김포시 통진읍,경기도 화성시 송산면,경기도 연천군 중면,N,Y,3,148395,0.5,74198,043-***-8416
김예지,1969-05-24,044-693-1402,56,경기도 연천군 군남면,26,13,경기도 파주시 목동동,경기도 안양시,경기도 광주시 곤지암읍,경기도 평택시 진위면,경기도 여주시 대신면,경기도 고양시 일산서구 법곳동,N,N,0,317673,0.2,63535,044-***-1402
한성진,1970-04-30,033-876-7572,55,경기도 이천시 부발읍,28,12,서울특별시 종로구 궁정동,경기도 포천시 군내면,경기도 용인시 처인구 모현읍,경기도 용인시 수지구,경기도 여주시 천송동,경기도 이천시 마장면,N,N,0,178282,0.2,35656,033-***-7572
이준서,1980-08-30,031-087-4122,45,경기도 안산시 단원구 대부동동,17,11,경기도 연천군 신서면,경기도 부천시,경기도 양평군 용문면,경기도 양평군 청운면,경기도 포천시 군내면,경기도 파주시 파평면,N,Y,3,510943,0.5,255472,031-***-4122
송정식,1988-05-17,011-839-7313,37,경기도 이천시 율면,27,7,경기도 광주시 추자동,경기도 화성시 마도면,경기도 용인시 처인구 해곡동,경기도 남양주시 금곡동,경기도 동두천시 보산동,경기도 가평군 설악면,N,N,0,42230,0.2,8446,011-***-7313
문현숙,1994-10-16,02-0566-0010,31,경기도 안성시 일죽면,41,10,서울특별시 강서구 방화동,서울특별시 강동구,서울특별시 중구 충무로4가,경기도 평택시 진위면,서울특별시 강남구,서울특별시 종로구 경운동,N,N,0,85265,0.3,25580,02-0***-0010
류성호,2006-03-14,053-528-9133,19,경기도 파주시 탄현면,35,13,경기도 부천시 소사구 범박동,경기도 시흥시 매화동,경기도 여주시 가남읍,경기도 김포시 하성면,경기도 시흥시 금이동,경기도 이천시 호법면,N,N,0,179923,0.3,53977,053-***-9133
김영환,1935-11-24,062-673-4957,90,경기도 광주시 곤지암읍,29,20,서울특별시 중구 남대문로1가,경기도 남양주시 수동면,경기도 양주시 광적면,경기도 안산시 단원구 성곡동,경기도 이천시 호법면,경기도 여주시 월송동,Y,Y,3,41993,0.53,22256,062-***-4957
이정자,1966-10-29,053-484-6432,59,서울특별시 마포구 구수동,36,10,경기도 용인시 기흥구 보라동,경기도 화성시 봉담읍,경기도 김포시 통진읍,경기도 여주시 흥천면,경기도 광주시 남한산성면,경기도 평택시 독곡동,N,N,0,340742,0.2,68148,053-***-6432
안승현,1938-08-05,011-820-1021,87,경기도 김포시 월곶면,32,8,경기도 안성시 사곡동,서울특별시 은평구 증산동,서울특별시 종로구 훈정동,경기도 안성시 대덕면,경기도 양평군 양서면,경기도 여주시 점동면,Y,N,0,303278,0.53,160737,011-***-1021
장순자,2005-05-24,070-9746-8061,20,경기도 양평군 강하면,26,10,경기도 이천시 호법면,경기도 연천군 중면,경기도 화성시 팔탄면,경기도 안성시 공도읍,경기도 이천시 율면,경기도 양평군 개군면,N,N,0,240710,0.3,72213,070-****-8061
박민지,1982-11-03,064-789-1414,43,경기도 안산시 상록구 장하동,25,10,서울특별시 종로구 통의동,경기도 연천군 왕징면,경기도 성남시 수정구 고등동,서울특별시 성북구,경기도 남양주시 조안면,경기도 안성시 미양면,N,Y,2,183559,0.3,55068,064-***-1414
차지아,1943-08-04,061-220-9209,82,경기도 광주시 곤지암읍,25,13,경기도 파주시 진서면,경기도 여주시 북내면,경기도 화성시 장안면,경기도 연천군 신서면,서울특별시 중랑구 묵동,경기도 연천군 미산면,N,N,0,46928,0.2,9386,061-***-9209
김정희,1966-11-09,061-996-0501,59,경기도 연천군 중면,27,11,경기도 고양시 일산동구 식사동,경기도 광주시 도척면,경기도 안성시 삼죽면,서울특별시 성북구 안암동4가,서울특별시 서초구 염곡동,경기도 가평군 상면,Y,N,0,386935,0.53,205076,061-***-0501
김수민,1984-08-25,033-423-3496,41,서울특별시 중구 충무로5가,24,11,경기도 성남시 분당구 판교동,경기도 성남시 중원구 금광동,경기도 양평군 지평면,경기도 오산시 금암동,경기도 고양시 일산서구 가좌동,경기도 하남시 당정동,N,N,0,163431,0.2,32686,033-***-3496
이진우,1997-05-28,042-383-2562,28,경기도 양평군 개군면,35,8,경기도 남양주시,경기도 김포시 하성면,경기도 이천시 대월면,서울특별시 영등포구 영등포동4가,경기도 남양주시 수동면,경기도 가평군 북면,N,N,0,45163,0.3,13549,042-***-2562
김지우,1990-12-04,011-514-0654,35,경기도 양평군 양평읍,27,13,경기도 파주시 법원읍,서울특별시 중구 필동1가,서울특별시 송파구 오금동,경기도 양평군 지평면,경기도 안성시 고삼면,경기도 고양시 덕양구 내곡동,N,N,0,253245,0.2,50649,011-***-0654
최은경,1978-01-19,070-1933-6509,47,경기도 양평군 개군면,24,11,서울특별시 서초구 우면동,경기도 남양주시 조안면,경기도 이천시 모가면,경기도 파주시 문산읍,경기도 안성시 일죽면,경기도 용인시 처인구 호동,N,N,0,6104,0.2,1221,070-****-6509
이재호,1960-01-25,031-755-1139,65,경기도 화성시 장안면,18,13,서울특별시 도봉구,경기도 안성시 원곡면,서울특별시 서대문구 미근동,경기도 화성시 서신면,경기도 포천시 가산면,경기도 이천시 백사면,N,Y,3,46643,0.5,23322,031-***-1139
김중수,1935-08-24,070-2205-6571,90,서울특별시 마포구 망원동,37,9,경기도 안성시 일죽면,서울특별시 종로구 종로1가,경기도 여주시 흥천면,서울특별시 종로구 사간동,경기도 용인시 처인구 원삼면,경기도 파주시 파평면,N,N,0,48792,0.2,9758,070-****-6571
김상훈,1944-11-15,041-176-5089,81,서울특별시 용산구 청파동1가,23,11,경기도 여주시 가남읍,경기도 화성시 양감면,경기도 화성시 우정읍,서울특별시 마포구 구수동,경기도 화성시 팔탄면,서울특별시 강서구 오곡동,N,N,0,65399,0.2,13080,041-***-5089
장정순,1977-06-30,070-7323-4311,48,서울특별시 송파구 마천동,30,14,경기도 평택시 진위면,경기도 화성시 마도면,경기도 광주시 퇴촌면,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 곤지암읍,N,N,0,6634,0.2,1327,070-****-4311
이경희,1959-06-06,055-383-2165,66,경기도 안성시,28,11,경기도 여주시 가남읍,경기도 안성시 금광면,서울특별시 중구 회현동2가,서울특별시 종로구 서린동,경기도 동두천시 걸산동,경기도 안성시 대덕면,N,N,0,350634,0.2,70127,055-***-2165
이정훈,2000-05-03,033-599-7928,25,경기도 남양주시 다산동,28,9,경기도 연천군 미산면,경기도 포천시 관인면,서울특별시 중구 오장동,경기도 연천군 청산면,경기도 광주시 남종면,경기도 파주시 군내면,N,N,0,19425,0.3,5828,033-***-7928
이상훈,1983-11-14,042-667-9211,42,경기도 여주시 흥천면,31,4,경기도 하남시 창우동,경기도 광주시 초월읍,경기도 용인시 처인구 이동읍,경기도 파주시 장단면,서울특별시 중구 회현동1가,경기도 화성시 팔탄면,N,N,0,335166,0.2,67033,042-***-9211
김정식,1995-03-05,02-8825-1898,30,경기도 화성시 봉담읍,24,9,경기도 용인시 처인구 남사읍,경기도 여주시 우만동,경기도 평택시 서정동,경기도 화성시 장안면,경기도 안산시 상록구 양상동,경기도 포천시 관인면,N,N,0,37699,0.3,11310,02-8***-1898
김영순,1999-06-12,032-342-7957,26,경기도 연천군 미산면,32,8,경기도 여주시 세종대왕면,경기도 안성시 고삼면,경기도 이천시 장호원읍,경기도 안성시 금광면,경기도 용인시,경기도 평택시 팽성읍,N,N,0,348720,0.3,104616,032-***-7957
이은경,1988-06-05,053-956-2306,37,경기도 연천군 백학면,34,8,경기도 용인시 처인구 포곡읍,경기도 화성시 향남읍,경기도 양주시 광적면,경기도 안성시 고삼면,경기도 여주시 단현동,서울특별시 송파구 오금동,N,Y,3,5599,0.5,2800,053-***-2306
오민석,1998-02-19,053-592-2471,27,경기도 부천시 원미구 중동,28,12,경기도 성남시 수정구 수진동,경기도 여주시 세종대왕면,경기도 여주시 북내면,경기도 수원시 장안구 하광교동,경기도 양평군 양동면,서울특별시 서대문구 창천동,N,N,0,291063,0.3,87319,053-***-2471
이우진,1997-08-15,02-7303-1750,28,서울특별시 중구 저동2가,28,16,경기도 안성시 죽산면,서울특별시 성동구 성수동2가,경기도 여주시 세종대왕면,경기도 안성시 보개면,경기도 이천시 장호원읍,경기도 화성시 양감면,Y,N,0,144326,0.53,76493,02-7***-1750
김명자,1939-12-18,042-343-2137,86,경기도 양평군 양평읍,27,8,경기도 포천시 내촌면,경기도 시흥시 목감동,경기도 부천시 원미구 역곡동,경기도 연천군 왕징면,경기도 여주시 대신면,서울특별시 도봉구 창동,Y,Y,2,46223,0.53,24498,042-***-2137
성은영,1966-10-20,019-303-2934,59,서울특별시 송파구 송파동,17,11,경기도 이천시 부발읍,서울특별시 영등포구 양평동2가,경기도 파주시 적성면,경기도 연천군 왕징면,경기도 여주시 흥천면,경기도 김포시 감정동,Y,N,0,98943,0.53,52440,019-***-2934
류상훈,1961-11-17,042-253-5347,64,경기도 이천시 부발읍,38,8,경기도 파주시 적성면,경기도 평택시 팽성읍,경기도 여주시 산북면,경기도 광주시 송정동,경기도 가평군 설악면,경기도 화성시 정남면,N,N,0,19369,0.2,3874,042-***-5347
최서준,1959-03-27,017-188-1320,66,경기도 안성시 양성면,23,6,경기도 화성시 비봉면,서울특별시 송파구 가락동,서울특별시 중구 봉래동1가,경기도 화성시 봉담읍,경기도 화성시 비봉면,경기도 안성시 고삼면,N,N,0,27998,0.2,5600,017-***-1320
한아름,1944-06-19,061-309-9245,81,경기도 남양주시 조안면,29,6,서울특별시 영등포구 문래동1가,경기도 가평군 설악면,경기도 평택시 안중읍,경기도 평택시 팽성읍,경기도 이천시 호법면,서울특별시 용산구 도원동,N,N,0,86752,0.2,17350,061-***-9245
김정숙,1995-03-07,02-7293-9105,30,서울특별시 종로구 교남동,18,11,경기도 양평군 지평면,경기도 평택시 팽성읍,경기도 여주시 흥천면,경기도 용인시 기흥구 하갈동,경기도 화성시 정남면,경기도 양평군 옥천면,N,N,0,100849,0.3,30255,02-7***-9105
오민수,1973-04-07,051-995-1964,52,경기도 화성시 팔탄면,33,10,경기도 연천군 연천읍,경기도 평택시 팽성읍,경기도 평택시 포승읍,서울특별시 성북구 안암동3가,경기도 여주시 세종대왕면,경기도 이천시 장호원읍,N,N,0,283752,0.2,56750,051-***-1964
최지훈,1995-10-23,051-492-7321,30,경기도 연천군 전곡읍,27,12,경기도 가평군 가평읍,경기도 김포시 하성면,경기도 안성시 신건지동,경기도 화성시 양감면,경기도 여주시 북내면,서울특별시 양천구 신정동,N,N,0,267753,0.3,80326,051-***-7321
이민석,1981-08-11,018-637-2343,44,경기도 화성시 정남면,29,11,경기도 여주시 가남읍,경기도 파주시 파평면,경기도 안성시 대덕면,경기도 여주시 북내면,경기도 용인시 처인구 백암면,경기도 연천군 백학면,Y,N,0,52076,0.53,27600,018-***-2343
김성민,1952-03-19,043-489-4622,73,서울특별시 용산구 청암동,30,11,경기도 파주시 법원읍,경기도 오산시 갈곶동,서울특별시 종로구 명륜4가,서울특별시 중구 광희동2가,서울특별시 마포구 상암동,경기도 용인시 처인구 포곡읍,N,N,0,38537,0.2,7707,043-***-4622
박경숙,1989-10-12,033-069-2075,36,경기도 광주시 초월읍,27,12,경기도 화성시 팔탄면,경기도 김포시 월곶면,경기도 평택시 팽성읍,경기도 안성시 양성면,경기도 이천시 갈산동,경기도 양평군 양서면,Y,N,0,34953,0.53,18525,033-***-2075
문하은,1960-02-18,052-256-8716,65,서울특별시 용산구 서계동,32,7,경기도 용인시 처인구 모현읍,경기도 화성시 비봉면,경기도 구리시,경기도 평택시 팽성읍,서울특별시 마포구 당인동,경기도 포천시 가산면,N,N,0,169431,0.2,33886,052-***-8716
주상훈,1991-12-11,011-507-3328,34,경기도 가평군 상면,30,14,경기도 화성시 매송면,경기도 화성시 반송동,서울특별시 중구 황학동,서울특별시 성북구 보문동4가,경기도 가평군 청평면,경기도 화성시 반정동,Y,Y,2,164766,0.53,87326,011-***-3328
김영숙,1974-01-14,032-259-2524,51,경기도 고양시 덕양구,20,13,경기도 평택시 고덕면,경기도 평택시 포승읍,경기도 남양주시 호평동,경기도 수원시,서울특별시 영등포구 문래동1가,경기도 안성시 삼죽면,N,N,0,21024,0.2,4205,032-***-2524
한미영,1969-02-27,011-317-9687,56,서울특별시 강서구 과해동,33,8,경기도 안성시 보개면,경기도 여주시 북내면,경기도 화성시 장안면,경기도 연천군 중면,경기도 안성시 서운면,경기도 화성시 남양읍,N,N,0,78920,0.2,15784,011-***-9687
최예준,1979-01-22,064-776-9489,46,경기도 용인시 처인구 모현읍,31,5,경기도 화성시 우정읍,경기도 연천군 중면,경기도 고양시 일산동구 식사동,경기도 안성시 서운면,경기도 여주시 강천면,경기도 여주시 세종대왕면,N,N,0,393441,0.2,78688,064-***-9489
김영길,1951-05-30,043-526-5580,74,서울특별시 마포구 대흥동,29,14,경기도 의왕시 포일동,경기도 성남시 분당구 판교동,경기도 평택시 안중읍,경기도 파주시 적성면,경기도 남양주시 지금동,서울특별시 성북구 상월곡동,N,Y,3,540925,0.5,270462,043-***-5580
최예지,1935-06-12,031-237-6726,90,경기도 화성시 향남읍,31,9,서울특별시 마포구 신공덕동,경기도 수원시 팔달구 영동,경기도 김포시 하성면,서울특별시 강남구 역삼동,경기도 수원시 팔달구 매교동,경기도 화성시 장안면,N,N,0,677606,0.2,135521,031-***-6726
김민준,1972-10-14,064-700-6704,53,경기도 화성시 우정읍,35,11,경기도 광주시 남종면,경기도 포천시 창수면,경기도 여주시 점동면,경기도 이천시 부발읍,경기도 양평군 개군면,경기도 동두천시 지행동,N,Y,2,224348,0.3,67304,064-***-6704
